hospital,asn_name,asn
The Moses H. Cone Memorial Hospital,CONEHEALTH,AS54640
"CAMC Health System, Inc.",CAMC,AS54713
CGH Medical Center,CGHMC-STERLING,AS54794
New England Baptist Hospital,NEBH,AS54851
Southern Illinois Hospital Services,SOUTHERN-ILLINOIS-HEALTHCARE,AS54860
"Mount Sinai Medical Center of Florida, Inc.",MSMC-FL,AS54928
Scripps Health,SCRIPPSHEALTH,AS54996
"St. Josephs/Candler Health System, Inc.",SJCHS-SAV-GA,AS54998
DuBois Regional Medical Center,DRMC-AS-1,AS55084
Hackensack University Medical Center,HACKENSACKUMC,AS55209
Southeast Alabama Medical Center,SAMC-HCHA,AS55210
Firelands Regional Medical Center,FRMC01,AS55266
Tufts Medical Center Inc.,TUFTS-MEDICAL-CENTER-BOSTON,AS62570
Marshfield Clinic Inc.,ASBDCH,AS62790
BARRETT HOSPITAL AND HEALHCARE,BARRETTHOSPITAL,AS62817
Catawba Valley Medical Center,CATAWBAVALLEYMC,AS62973
"St. Charles Health System, Inc.",STCHARLESHEALTHSYSTEM,AS62990
Renown Health,RENOWN-HEALTH-RENO-NV,AS63016
St. Joseph Hospital,SJH-NH,AS63181
Atlanticare Health System Inc.,AHS,AS63193
Cooley Dickinson Hospital,EARTHLINK-LIGHTOWER,AS63307
"Tanner Medical Center, Inc.",TANNER-MEDICAL-CENTER,AS63369
Day Kimball Hospital,DKH-PUT-ASN,AS63478
"BAXTER COUNTY REGIONAL HOSPITAL, INC",BCRH,AS63481
Overlake Hospital Medical Center,AS-OVERLAKE,AS393244
Parkview Hospital,PARKVIEW-HEALTH,AS393247
"Beatrice Community Hospital and Health Center, Inc.",AS-BCHHC,AS393270
Cooper University Hospital,CHSNJ-ASN1,AS393307
Teton County Hospital District,SJMC-TCHD-3,AS393367
Hays Medical Center,HAYSMED,AS393401
Nanticoke Memorial Hospital INC,NHS14MH,AS393432
Lane Regional Medical Center,LANERMC,AS393469
St Francis Healthcare System of Hawaii,SFHSH-ASNUMBER,AS393510
Vanderbilt University Medical Center,VUMC,AS393529
Sierra View District Hospital,SVDH-ASN,AS393550
Northside Hospital,NSH167,AS393556
Lee Memorial Health System,LEE-MEMORIAL-HEALTH-SYSTEM,AS393579
Pratt Regional Medical Center,PRMC-ASN1,AS393633
St. Mary's Health System,COV-SML-NETWORKS,AS393666
"DEACONESS HOSPITAL, Inc.",DEACONESSHOSPITAL,AS393674
The Brooklyn Hospital Center,AS393753,AS393753
Touro Infirmary Hospital,TOUROHOSPITALNOLA,AS393790
MemorialCare Health System,GEN4,AS393815
Inova Health System Foundation,INOVA-PRIMARYASN-01,AS393861
Children's Hospital & Medical Center,CHILDRENSOMAHA,AS393862
"The Harrison Memorrial Hospital, Inc.",ASHMHATT0001,AS393896
Hurley Medical Center,HURLEY-MEDICAL-ASN,AS394004
"Infirmary Health System, Inc.",MIMC,AS394017
Memorial Hospital,BJCHE-2,AS394039
University of Wisconsin Hospital and Clinics,UWHCA,AS394049
Forrest County General Hospital,FCGH-AS,AS394090
"Cape Regional Medical Center, Inc.",CAPEREGIONALHEALTHSYSTEM,AS394096
Valley Children's Hospital,VCH-MADERA,AS394121
Madison Co Memorial Hospital,MMH,AS394139
Weeks Medical Center,WMC,AS394212
"Beacon Health System, Inc.",BEACON-HEALTH-SYSTEM,AS394283
Adena Health System,ADENAHEALTHSYSTEM,AS394425
Elliot Health System,EHS-AS-001,AS394451
"Saint Mary's Hospital, Inc.",SMH-91-WTBY-CT,AS394521
UPMC,UPMC-PINNACLE,AS394612
American Hospital Association,AHA-MH-BGP,AS394623
Catholic Medical Center,CMC,AS394632
"St. Mary's Medical Center, Inc.",STMARYSMEDICALCENTER-2900,AS394668
Summit Healthcare Regional Medical Center,SUMMITHEALTHCARE,AS394681
Children's Hospital of The King's Daughters Health System,CHKDHS,AS394780
BRISTOL HOSPITAL INCORPORATED,BRISTOLHOSPITAL,AS394802
Wabash General Hospital District,WGH-ASN-1,AS394822
Blythedale Children's Hospital,BCH,AS394877
Punxsutawney Area Hospital,PAH,AS394921
Pikeville Medical Center,AS-PIKEMEDCENTER,AS395024
Saint Francis Medical Center,SFHS-CAPE-GIRARDEAU,AS395041
University of Mississippi Medical Center,UMMC,AS395073
San Antonio Regional Hospital,SARH-ASN1,AS395074
"Massachusetts Health & Hospital Association, Inc.",MHALINK-01,AS395078
Orange Regional Medical Center,GARNET-HEALTH,AS395095
Yuma Regional Medical Center,YRMC-ASN,AS395102
NewYork-Presbyterian Hospital,NYP-INTERNET,AS395139
Boulder Community Hospital,BOULDER-COMMUNITY-HEALTH,AS395159
Benefis Health System,BHS-MT,AS395251
Stamford Hospital,STAMFORD-HEALTH,AS395252
"Beloit Health System, Inc.",BELOITHEALTHSYSTEM,AS395286
Madonna Rehabilitation Hospital,MADONNA-REHABILITATION-HOSPITAL,AS395300
"THE HARDIN MEMORIAL HOSPITAL FOUNDATION, INC.",HMHF-1-AS,AS395304
Tri-City Medical Center,TCMC-BGP-01,AS395315
Lake Charles Memorial Hospital,LAKE-CHARLES-MEMORIAL-HOSPITAL,AS395320
Exeter Hospital,EXETERHOSPITAL,AS395342
Children's National Hospital,CHILDRENS-NATIONAL-HOSPITAL-01,AS395407
Howard University Hospital,HUH-ASN-01,AS395436
St. Clair Memorial Hospital,SCH-ASN-REQUEST,AS395440
Redlands Community Hospital,RCH350,AS395507
Connecticut Children's Medical Center,AS-CTCHILDRENS,AS395519
"Independent Health Network, Inc.",IHN-ASN,AS395530
AMERICAN SOCIETY OF HEALTH SYSTEM PHARMACISTS,ASHP-HQ,AS395601
The Queen's Medical Center,QUEENS-HEALTH-SYSTEM,AS395618
"Grande Ronde Hospital, Inc.",GRH,AS395804
UPMC,UPMC-SOMERSET,AS395811
Maricopa Integrated Health System,MIHS,AS395857
"Dignity Health, Yavapai Regional Medical Center",YRMC-AS,AS395933
Memorial Hospital at Gulfport,MHAGBGP,AS395943
